phrase_l;frq;word_mean_l Oprava
1;7683;1.97
2;2308;2.25
3;1147;2.37
4;741;2.38
5;660;2.32
6;494;2.32
7;393;2.35
8;314;2.33
9;249;2.38
10;226;2.33
11;173;2.38
12;156;2.3
13;138;2.37
14;117;2.36
15;114;2.36
16;75;2.38
17;75;2.41
18;66;2.29
19;55;2.43
20;60;2.36
21;37;2.34
22;39;2.4
23;27;2.42
24;28;2.28
25;19;2.41
26;23;2.45
27;16;2.34
28;18;2.37
29;17;2.45
30;9;2.51
31;11;2.47
32;12;2.38
33;7;2.6
34;7;2.21
35;10;2.54
36;6;2.61
37;6;2.39
38;4;2.18
39;4;2.49
40;4;2.42
41;5;2.18
42;3;2.46
43;2;2.01
44;3;2.4
45;3;2.52
46;4;2.22
47;1;2.47
48;1;1.81
50;2;2.09
52;3;2.38
53;1;2.28
55;2;2.03
56;1;2.34
58;1;2.24
59;1;2.34
60;3;2.56
63;1;2.6
64;3;2.24
66;3;2.37
70;1;2.7
86;1;2.49
99;1;2.54
104;1;2.05
